name,,,,,
上热下寒,,,,,上热下寒证
上焦病证,,,,,上焦病证
下焦,,,,,下焦湿热证
中焦,,,,,下焦病证
冲任不固,,,,,中虚脏寒证
冲任不固证,,,,,亡阳证
凉燥证,,,,,亡阴证
劳淋,,,,,休息痢
劳疟,,,,,冲任不固证
半表半里,,,,,凉燥证
厥阴病证,,,,,劳疟
厥阴蛔厥证,,,,,半表半里证
大结胸证,,,,,卫分证
大肠虚寒证,,,,,卫气同病证
太阳伤寒证,,,,,厥阴病证
太阳蓄血证,,,,,厥阴蛔厥证
太阴虚寒,,,,,厥阴证
寒凝,,,,,命门火衰证
寒凝证,,,,,大结胸证
寒实结胸,,,,,大肠湿热证
寒实结胸证,,,,,大肠虚寒证
寒湿痢,,,,,太阳中风证
寒滞肝脉,,,,,太阳伤寒证
寒滞肝脉证,,,,,太阳蓄血证
寒热错杂,,,,,太阴证
寒痰,,,,,实证
寒痰证,,,,,寒凝心脉证
寒痰阻肺证,,,,,寒凝证
寒证,,,,,寒实结胸证
寒饮停肺证,,,,,寒湿困脾证
小儿脾虚生风证,,,,,寒湿痢
小儿风寒束表证,,,,,寒湿证
小结胸证,,,,,寒滞肝脉证
小肠实热证,,,,,寒热错杂证
少阴寒化证,,,,,寒疟
少阴热化证,,,,,寒痰证
心气虚血瘀证,,,,,寒痰阻肺证
心气血两虚证,,,,,寒证
心气阴两虚证,,,,,寒饮伏肺证
心火亢盛,,,,,寒饮停肺证
心肝血虚,,,,,小儿热极生风证
心肝血虚证,,,,,小儿肺热炽盛证
心肺气虚,,,,,小儿肾气虚弱证
心阳暴脱证,,,,,小儿脾胃虚寒证
心阳虚血瘀证,,,,,小儿脾虚生风证
暑伤肺络证,,,,,小儿风寒束表证
暑热,,,,,小结胸证
暑热动风证,,,,,小肠实热证
暑热证,,,,,少阳证
正疟,,,,,少阴寒化证
气分湿热证,,,,,少阴热化证
气分证,,,,,少阴证
气滞湿阻证,,,,,心气虚血瘀证
气营两燔证,,,,,心气虚证
气虚外感证,,,,,心气血两虚证
气郁化火证,,,,,心气阴两虚证
气陷证,,,,,心火亢盛证
水寒射肺,,,,,心肝血虚证
水气凌心,,,,,心肝阴虚证
津亏,,,,,心肺气虚证
津气亏虚证,,,,,心肾不交证
津液亏虚证,,,,,心肾阳虚证
浊阴不降证,,,,,心肾阴虚证
清阳不升,,,,,心脉痹阻证
温燥,,,,,心脾两虚证
温燥证,,,,,心血瘀阻证
温疟,,,,,心血虚证
温邪侵袭肺卫证,,,,,心阳不振证
湿热下注证,,,,,心阳暴脱证
湿热弥漫三焦证,,,,,心阳虚血瘀证
湿热浸淫证,,,,,心阳虚证
湿热痢,,,,,心阴虚证
湿痰,,,,,暑伤心肾证
湿痰证,,,,,暑伤肺络证
湿遏卫阳证,,,,,暑热动风证
湿郁热伏,,,,,暑热证
湿阻气分,,,,,暑证
湿阻气分证,,,,,正疟
热入血分,,,,,正虚阳脱证
热厥,,,,,气不摄血证
热扰胸膈证,,,,,气分湿热证
燥症,,,,,气分证
燥痰,,,,,气滞湿阻证
燥痰证,,,,,气滞痰凝证
痰气互结证,,,,,气滞血瘀证
痰热内闭证,,,,,气滞证
痰热动风证,,,,,气脱证
痰热壅肺证,,,,,气营两燔证
痰瘀互结证,,,,,气虚外感证
痰瘀阻肺证,,,,,气虚血瘀证
痰证,,,,,气虚证
痰阻心脉证,,,,,气血两虚证
痰饮内阻证,,,,,气逆证
瘀血阻络证,,,,,气郁化火证
相火妄动,,,,,气郁痰阻证
相火妄动证,,,,,气闭证
真寒假热,,,,,气阴两虚证
真寒假热证,,,,,气陷证
真热假寒,,,,,气随血脱证
精气亏虚证,,,,,水寒射肺证
精脱,,,,,水气凌心证
肝火炽盛证,,,,,津亏热结证
肝火犯肺证,,,,,津气亏虚证
肝经湿热,,,,,津液亏虚证
肝郁血瘀证,,,,,浊阴不降证
